normalisasi,Score,Sentiment
bersenang senanglah kalian di atas bumi yang hanya sementara ini jangan lupa masih ada khdpan di bawah bumi setelah ini,-5,Negatif
ingat semua itu ada pertanggung jawabannya kelak di akhirat,-2,Negatif
gunanya dpr apa bertanya dengan nada lembut,0,Netral
gaji sebulan juta hasil kerja mereka apa ya,0,Netral
lihat pasha kayak bingung,0,Netral
apa untung ya dpr buat rakyat,0,Netral
juta sudah lebih dari cukup itu gaji dpr perbulan,-1,Negatif
rumah eko patrio sudah segede gaban masih dapat tunjangan,0,Netral
memang wajar gaji dpr besar kerja mereka keras dan jelas itu demi masyarakat kalau bisa juta perbulan,0,Netral
habis wd juta hari ini ketua,0,Netral
fungsinya dpr itu apa sih saya sebagai rakyat tidak perlu wakil,-4,Negatif
ih saya guru gaji ya sebulan ribu loh,0,Netral
eko patrio sama iya kuya sarjana apa,0,Netral
sebenarnya gibran itu bukan marah atau geram sama dpr tapi memang planga plongo saja tidak tau apa apa sama kayak bapaknya dulu,-6,Negatif
menyala negeri ku,0,Netral
iya lagi apa lagi pajak menyala,-4,Negatif
teganya kau menari diatas tangisanku,-1,Negatif
tanggal aseptus kayak ya,-1,Negatif
sudah kak tanggal tadi di jakarta,-1,Negatif
kabarin kalau ada demo,-2,Negatif
sudah kabar tanggal ketinggalan info,-3,Negatif
berarti kalau suami istri buat kos juta ya,0,Netral
betul hebat banget negara kasih gajih sama orang yang kayak jadi tambah kayak yang miskin tambah kelaperan,-2,Negatif
ok gas ok gas,0,Netral
saran dari gue sih sebelum demo persiapan antisipasi gas air mata dan jangan lupa bawa petasan biar seru,-5,Negatif
terwujud kata mu abang,-1,Negatif
setuju gua orangnya mageran tapi kalau demo ya untuk membubarkan dpr gua tidak mager sumpah,-5,Negatif
irt ikut demo bisa tidak sih,-3,Negatif
kabarin abang kalau sudah demo,-2,Negatif
harus kompak rakyatnya jangan bayar pajak,-3,Negatif
pajak apa saja begitu kak contohnya pajak mtr kah,-4,Negatif
ya salahsatunya mereka tidak dapat pemasukan kalau kita kompak tidak bayar pjk,-2,Negatif
ttapiii kalau tidak bayar pajak memang aman,-3,Negatif
aku gabayar bulan saja kayanya panik,-4,Negatif
pajak penghasilanku saja bisa juta perbulan belum pajak ppb mobil motor kita ke mall makan byr ppn kita belanja kena ppn,-2,Negatif
tapi gajiku di potong otomatis untuk bayar pajak tiap bulan juta an lebih,0,Netral
sebagian di kasih buat gaji dpr ihklas tidak kalau saya sih tidak ihklaskalo buat kebutuhan negara saya ihklas,-2,Negatif
demi allah tidak ikhlas kerja sampai gila stres deadline kejaran lembur dipotong pajak buat hidup foya pejabat tidak ikhlas,0,Netral
ya palingan nanti ada ancaman tertentu kalau tidak bayarpajak sebenarnya secara tidak sadar semuanya di pajakin apa apa di pajakin kita saja tidak sadar,-8,Negatif
kak kalau kakak masuk belanja di supermarketpun ada ppn ya lah kakak selama ini sudah bayar pajak melalui itu salah ya,-2,Negatif
pajak mobil mati tahun kagak gua uruss,-2,Negatif
gajih guru honor pns dan pakai ribu juta adalah beban negara terus gajih dpr beban siapa,-2,Negatif
bisa tidak gaji dpr itu atau juta saja perbulan begitu biar merasai juga jadi rakyat biasa yang kerjanya lembur tapi gaji tidak sbrp,-3,Negatif
bisa tidak gaji anggota dpr setara umr saja bagaimana rasa ya beras minyak gas token listrik habis bersamaan,-3,Negatif
sila ke keadilan sosial bagi seluruh rakyat indonesia telah hilang,1,Positif
coba dpr sesekali buka mata buka hati dipinggir jalan banyak rakyat yang makan banyak yang mati kelaparan,-3,Negatif
kita butuh sosok pemimpin seperti anis baswedan untuk merubah indonesia dari ketidak adilan dan agar rakyat indonesia di bebaskan dari kemiskinandan agar indonesia menjadi negara yang lebih majutapi setelah itu tangkap anis,-8,Negatif
kata krisdayanti tentang gaji dpr tanggal cair juta tanggal cair lagi juta jadi sebulan juta dana aspirasi juta kali dalam tahun dana kunjungan dapil juta kali dalam tahun ya allah kuatkan rakyat indonesia,5,Positif
salahnya dimana lgian jadi dpr itu tidak enak harus lembur siang malam dan mnguras tenaga dan pkiran demi memkirkan rakyat supaya hidup sejahtra mereka lembur sampai subuh karena rapat mewakilkan suara keluh kesah rakyat jadi wajar lah kalau gaji mereka naik kapan perlu kita rakyat harus tambah gaji mereka dari yang juta perhari jadi juta perhari karena mereka banyak berjasa buat negara ini,-2,Negatif
katanya tanggal demo bubarkan dpr jadikah,-3,Negatif
terlalu kecil juta mah kalau bisa mah sama saja apa karena mereka memng pantas mendapatkan gaji segitu soalnya modal awalnya juga gede hidup dpr yang miskin tambah miskin yang kayak ya tambah kayak,-9,Negatif
mending uang ya buat bedah rumah masyarakat yang tidak mampu lebih berguna,3,Positif
pak prabowo hapus tunjangan dpr,-2,Negatif
pak bu demi allah kami tidak ridho tidak ikhlas bakal kami tagih sampai akhirat,-1,Negatif
para petinggi berfoya dengan berhamburan uang rakyat kecil masih semakin tertindas dengan kenaikan pajak oh negeriku begitu tidak adilkah,-3,Negatif
hampir semua yang bekerja dipemerintahan sih,-2,Negatif
hidup mereka enak bangtt setra rakyat kecil susah hidup ya,-1,Negatif
bisa abang kita makan dan minum uang ya dari hasil keringat kita sendiri bukan dari dpr,-3,Negatif
nah ini benar dpr tuh omon omon doang kalau ya kita masih bisa hidup dengan bekerja keringat sendiri,-1,Negatif
btw itu nama bpk ku omon,-1,Negatif
dan mngkn pajak kita juga bukan buat bikin kenyang itu tikus ya,0,Netral
iya mungkin padahal gajih sudah besar tuh dpr tapi kenapa masih ada yang korup ya apa kurang gajih segitu,-7,Negatif
nama ya juga tikus got kurang saja dia mah,-3,Negatif
tikus berkumis dan ber uban ini mah,0,Netral
dpr yang dari kita,-2,Negatif
sedangkan dpr yang gaji kita kayak tidak adil banget,-2,Negatif
memang kita di gajih sama dpr,0,Netral
dulu almarhum gusdur mau bubarkan dpr malah di demo,-1,Negatif
saya pikir nanyak begini mau apa,-3,Negatif
kan selama ini kita hidup mencari makan sendiri,-2,Negatif
padahal kata ya negara demokrasi tapi pendapat rakyat tidak pernah di dengar,0,Netral
dari dulu yang kayak mah pejabat,-4,Negatif
piye ora bayar soyo ra bayar soyo di parani goleki salahe,-2,Negatif
aku menunggu pemutihan pajak saja wkwkwkwk,-3,Negatif
wkwkwk aku belum bayar pajak kak,0,Netral
benar apa pajak makan saja dipajakin,-3,Negatif
bilang tidak bayar pajak giliran ditanyakan pak dukuh terus membayar,-2,Negatif
haha perangkat desa yang menarik sekarang,-1,Negatif
tidak bayar pajak pun pajak bisa dari kebutuhan yang harganya jadi pada naik,-5,Negatif
sulit bro sistem mengharuskan bayar pajak,-2,Negatif
percuma om kita beli rokok minyak itu sudah sama pajak,-2,Negatif
mending langsung bubarin dpr saja kak,0,Netral
saya juga tidak iklas dunia akhirat pajak semua dipajakin tapi jalan semua rusak bertahun duitnya dipakai dpr dari pada untuk rakyat,-7,Negatif
tambahi pajak di mana mana,-1,Negatif
kesenjangan wakil rakyat dengan rakyatnya,-1,Negatif
ikhlasin saja ini memang janji prabowo saat kampanye akan menaikan gaji pejabat sebagai solusi biar mereka tidak korupsi,-3,Negatif
bahkan ada yang cacingan masyarakat ingat ya selagi dpr di pegang keluarga megawati banteng maka akan begini terus sampai ajal menjemput,-4,Negatif
tenang saja bun nanti diakhirat kita semua tuntut mereka,-4,Negatif
itu belum tunjangan beras dll naik juga lo,-1,Negatif
belum dapat proyek diperjual belikan,-1,Negatif
belum juga biaya kos ganti ya rumah dinas,2,Positif
memang kepmimpinn rada makin kesini makin tidak karuan,1,Positif
kesanya kayak aji mumpung ya,0,Netral
kayaknya pak presiden prabowo sengaja mengikuti cara almarhum gusdur biar rakyat demo besar besaran bubarin dpr itu sih dalam pikiran ku,-1,Negatif
bukannya prabowo yang bilang saat kampanye akan menaikan gaji pejabat sebagai solusi biar mereka tidak korupsi,-4,Negatif
bedakan legislatif eksekutif sama yudikatif bang jangan ujungnya selalu presiden yang disalahkan,0,Netral
lah kan memang janjinya prabowo mau naikin gaji pejabat biar tidak korupsi tapi apa hasilnya pejabat akan puas akan penghasilan dan tidak bakal korupsi ya tidak tau kok tanya saya wkwkkw,-8,Negatif
sri mulyani jadi menteri keuangan caranya begini cari muka ke pejabat,-3,Negatif
sebelum pak prabowo juga sudah segitu,-1,Negatif
lagi mana yang nganggurkita mencari kerja susah benar ini rakyat kecil,-4,Negatif
mana beli emak kena pajak persen,-1,Negatif
ketua dpr puan maharani dan anggota dpr mayoritas dari pdip,-2,Negatif
pdip abang mayoritas dpr dari pdip,-1,Negatif
sesuai yang praboowo bilang pengin mensejahterakan pejabat wwkwk rkyt yang memilih saja oon sudah jls dia mengomong begitu waktu itu,-6,Negatif
bukan orang orang prbowo itu tapi bekas jokwi anak buahnya rakyat tidak sengasara cuman mereka keenakan lebih baik bayar pajak kalau begitu,-4,Negatif
selamat menikmati pasilitas kami para tkus,1,Positif
mangkanya kerja biar bisa kayak,0,Netral
kalau mereka bilang guru jadi beban ya sudah kakak buat guru honorer mogok kerja saja biar sekalian negara kita tambah ancurr,2,Positif
kalau kita mogok ngopi kakak,-1,Negatif
sudah muak banget sama dpr,1,Positif
dpr yang bilang guru beban negara mungkin dia sekolah ya yang mengajar bukan guru tapi isi sendiri,-3,Negatif
dpr tidak ada guna bubar kan,0,Netral
dpr sampah rakyat,-1,Negatif
ya jelas dpr dong jadi beban,0,Netral
setuju dpr jadi beban rakyat,-1,Negatif
benar mereka pengin lebih kayak raya lagi lagian heran banget sih kok banyak banget artis jadi dapat mereka itu bukan memikirkan rakyat nya pengin lebih kayak lagi,-3,Negatif
kan memang niatnya memperkaya diri sendiri,-2,Negatif
ia memang hampir stngnya,0,Netral
tapi kata uya kuya jthari itu sedikit kak ngeri tidak sih,-5,Negatif
kayaknya kalau versi artis besar segitu dikit kak,-3,Negatif
karena modalnya sangat besar buat jadi anggota dpr jadi wajar gajih segitu,-3,Negatif
lah guru juga modalnya juga besar kuliah tahun dengan gaji segitu memang sebanding sama apa yang dikerjakan anggota dpr lulusan sama saja bisa modal besar kan pasti untuk nyogok supaya dapat suara kan,-2,Negatif
kalau kuliah mereka pun ada juga yang kuliah jadi kuliah tidak bisa dikatakan modal,-4,Negatif
guru juga modal dikira kesekolah naik motor pakai bensin setiap hari dengan gaji yang ke cukup untuk bensin doang lihat gaji dpr sengaja dibuat kecil supaya pajak pendapatan juga kecil tapi lihat tunjangannya jomplang banget sama guru guru tidak dapat tunjangan apapun selain gaji terutama yang honorer,-2,Negatif
guruu gaji segitu hanya untuk membeli makan beda dengan dpr makan saja dikasi tunjangan juta hak beras apa tidak menjerit gaji mereka bisa bersih untuk memperkaya harta karena listrik bensin dan makan ditanggung tunjangan,-9,Negatif
aneh banget kuliah itu modal utama guru bahkan guru yang dulu lulusan sama pun diupayakan untuk kuliah lagi bahkan ada study lanjutan namanya ppg itu modal utama mereka untuk membagikan ilmu bagi muridnya apa itu tidak terhitung modal sama kan kayak dpr mau dapat suara rakyat modal dulu bagi uang untuk dapat suara lihat tunjangan yang didapat masa efesiensi tunjangan makin besar,-4,Negatif
karena sangat susah bisa jadi anggota dewan coba saja ibu mencalonkan diri kalau memang bisa,-7,Negatif
berarti valid ya modal ya untuk dapat suara pantas saja dari awal mau kerja juga caranya sudah kotor,1,Positif
kebanyakan masyarakat juga bisa dibeli suaranya jadi masyarakat pun sudah korupsi duluan,-1,Negatif
masih masyarakat yang disalahin mengakak banget,-1,Negatif
memang kenyataan kayak begitu coba kalau suara tidak bisa dibeli mungkin yang terpilih orang yang berkualitas dan punya tujuan benar untuk masyarakat tapi kenyataannya suara mereka jual dluan tapi pas sudah perpilih wajar saja mereka tidak terlalu memikirkan pemilihhya,-7,Negatif
kalau memang susah dan merugikan mengapai jadi anggota dpr sekarang gua tanya kerja mereka apa pantas tidak sebagai wakil rakyat tiap jalan di kawal sampai rakyat sendiri yang sebagai atasannya di suruh minggir demi wakil ya lewat,-9,Negatif
masyarakat yang bisa dibeli kan memang sengaja dibegoin di miskinin buat apa ya supaya bisa dikendalikan,-2,Negatif
kamu anak dpr atau sodaranya,-1,Negatif
pasti ini anggota dpr,0,Netral
namanya juga orang tidak waras dia,-2,Negatif
abang loh di bayar berapa memang sama anggota dpr sampai sebegitunya,0,Netral
betul sebenarnya guru harus lebih besar ini malah pejabat kayak begitu,0,Netral
padahal guru yang paling berjasa buat masa depan ya allah dpr bersenang diatas penderitaan rakyatnya,3,Positif
tinggal tunggu teguran dari yang maha esa saja kita yang tidak menikmati pasti kena imbas dari teguran itu,-7,Negatif
merasakan sebulan ribu,0,Netral
sedih aku lihat ya kak soalnya bapak ku guru mana perjuangaan pergi kesekolah dengan jalan jelek becek berlumpur sedangkan mereka duduk tidur gaji tba naik itu tidak adil,-2,Negatif
di bilang beban negara,-1,Negatif
umr kita juga lemah sedih banget ternyata kita belum merdeka,0,Netral
tapi guru yang sudah sertifikasi juga lumayan kok,0,Netral
nakes juga bedanya kak tidak ngotakkk,-1,Negatif
aku bulan pun cuma,-3,Negatif
perawat ribu kakak,0,Netral
aku disini menangis jadi apalah arti guru ini ya,1,Positif
srimul memang guru perlu di gaji pemerintah,2,Positif
guru juga dibilang beban negara tauk,-1,Negatif
betul ke abang macam mana lah guru nak hidup sikit sangat itu gaji,-1,Negatif
guru kurang di hargai di negara ini padahal kalau di pikir semua profesi berasal dari sekolah yang pastinya di didik oleh guru bukan dpr,-4,Negatif
sejahterakan dulu sekolah pak guru,2,Positif
sependapat kaksaya pribadi sebagai guru honorer dari tahun sekarangitu pun kemarin ada kata guru adalah beban negara beban apanya gaji kita pun tak sepadan dengan pengabdian kita selama initoh kita menjadi tenaga pendidik itu juga keluar biaya banyak untuk kuliahjadi tolong dong para pejabat berpikirlah dengan bijak pekerjaan kami adalah pekerjaan yang nyata kok tidak hanya makan gaji buta saja,-9,Negatif
lhah ini lho yang tak makas kita saja yang bisa kerj setiap hari dengar gaji dpr juta saja hati rasanya sakit banget apalagi bagi orang yang kadang tidak bisa makan harus nyekolahin anak apa tidak tambah sakit hatinya kalau dengar ini,-7,Negatif
iya benar nyesekk dada rasanya yaallah tunggu pengadilan di akhirat,0,Netral
belum korupsi tuh mereka,-1,Negatif
jalan kita menuju surga ya,0,Netral
tidak mau tidak iklas di akhirat itu nanti kalau sudah mati yang kayak makin kayak yang miskin mati kasihan yang tidak kerja serba kekurangan tidak di perhatikan pemerintah padahal mereka di gaji buat memperhatikan mnsejahtrakan rakyat buat apa mereka di gaji kalau tidak ada guna ya,-11,Negatif
kalau sudah tidak ada gunanya mending ditiadakn saja uang gjinya bisa untuk kpentingn rkyatumr dinaikn,-3,Negatif
iya tidak ikhlas,0,Netral
miris memang kak sama yang katanya perwakilan rakyat lebih mirisnya lagi kadang mereka tidak menyadari dengan apa yang sudah mereka perbuat di kritik juga kadang masih suka tutup telinga ini kayaknya diruqyah juga sudah tidak mempan,-6,Negatif
berjoget saja sih ok gas ok gas,-1,Negatif
kocak benar abang negara wkwkwk,0,Netral
asli kalau dunia sekarang ini,0,Netral
maka dari itulah karena cuma sementara ambil lah banyak kebahagiaan,-4,Negatif
betul tapi kalau duit hidup kayak mau mati,-2,Negatif
walaupun sedikit yang penting halal dan berkah bang,-1,Negatif
percuma kau mengomong gitumereka bhinatankkk tidak bisa bahasa manusia,-1,Negatif
mana ingat kak orang sudah istidraj,0,Netral
kita tagih di akhirat tunggu saja,-2,Negatif
betul sekali tak takutkah mereka akan siksa diakhirat,-2,Negatif
padahal kita selaku rakyat merasa komunikasi sama mereka,0,Netral
iye kak yang ditelpon makhluk halus soalnya,-1,Negatif
tunjangan komunikasi kita goceng ssbulan,-1,Negatif
dpr dpr masih saja pada kekeh nyoblos,-2,Negatif
gue habis wd,0,Netral
dpr layak naik gaji karena mereka bekerja keras memikirkan penderitaan rakyat,-2,Negatif
kelamaan menunggu dibawah bumi kalau bisa mending sekarang saja,-4,Negatif
semoga segera diadili pengadilan dunia sampai akhirat,0,Netral
lamaaaa banget loh kak sejak jaman gusdur sampai sekarang tetap paling sejahtera mereka daripada sektor lain,0,Netral
tapi sekarang sudah ada sedikit perkembangan kak adanya pejabat yang viral terbuka amanah contoh kdm dan kepala desa yang bertato viral tapi benar mensejahterakan rakyat semoga pejabat yang lain bisa meniru dapat taufik wal hadiyah,-5,Negatif
amin ya allah,2,Positif
capeeee gaji potongannya gede banget,0,Netral
belum masih ada tanggunganmakin capek,0,Netral
saya juga tidak ikhlas dunia akherat sampai bertemu di pengadilan akherat,0,Netral
mereka sudah tidak kepikiran akhirat,-1,Negatif
sekelas dewan beli token saja harus di tunjang beli sendiri saja bisa itu juta sudah dapat banyak,-4,Negatif
semua lengkap terus kita yang dibawa fasilitasnya apa capek,-3,Negatif
mau ya keadilan dunia dan akhirat,1,Positif
bagaimana rakyat yang tidak ada rumah dan makan sehari dengan seada ya saja,-1,Negatif
stresssss gua tidak bakal iklas gua ungkit terus sampai di akherattttt,-3,Negatif
sampai jumpa di pengadilan allah swt,1,Positif
saya hanya mau bertanya min untuk apa dpr jika rakyat masih tersiksa,-3,Negatif
kasihan banget gajinya cuma juta per hari sedangkan aku mau dapat juta harus bulan,0,Netral
terus demo pantesan tidak maju makan mulu kerja kagak,-3,Negatif
sakit hati ya allah lihat dpr di republik ini orang cpek kerja susah untuk cari makan malah mereka seenak ya naikin gaji parah,0,Netral
yaallaah apa gunanya dpr rakyat ya saja susah semua begini,-4,Negatif
negara ini sangat miris di tengah gejolaknya ekonomi sekarang ini kenapa tidak di fokuskan kedaulatan pangan pengelolaan sampah peningkatan kualitas kesehatan pendidikan,-1,Negatif
padahal rakyat masih banyak yang rumahnya tidak layak huni,-3,Negatif
parah miris negeri ini,-2,Negatif
katanya mereka wakil rakyat semua fasilitas dapat sedangkan bos ya rakyat banyak yang kelaparan,-1,Negatif
rip empati pada saat rakyat masih ada yang kelaparan dan kesusahan,-4,Negatif
saya tidak rela pajak saya dikasi ke dpr apalagi hanya untuk tunjangan gilaan,-6,Negatif
demo tidak sih lama nglunjak anjirt dpr tuh,-3,Negatif
bantuan listrik dan telepon juta wuy rakyat indonesia sehari ada yang tidak mkan kenapa malah dpr yang diberi hidup nyaman hancur negeri ini,-1,Negatif
kita tuh tidak butuh wakil rakyat yang kayak begitu deh,-4,Negatif
kami kerja keras setahun tidak sampai jta,0,Netral
demi allah akan aku tuntut di akhirat,0,Netral
pantas pajak naikberarti buat orang ini toh,0,Netral
hidup lagi capek capenya malah lihat gaji dpr,0,Netral
cukup stop bayar pajak,-2,Negatif
beberapa ada yang berguna banyak nya oknum,0,Netral
tapi kok kita pilih,-1,Negatif
tidak tau saya tidak kenal anggota dpr pun,-6,Negatif
dewan pemeras rakyat,-1,Negatif
beban negara masih nanyak,-1,Negatif
manfaat mereka buat negara ini apa ya,2,Positif
ya ngabisin duit negara lah apalagi,1,Positif
menghabiskan uang rakyat wkwk,-1,Negatif
hasil ya utang negara meningkat buat gaji mereka,2,Positif
kernya mereka naikin pajak biar upah mereka bertambah terus,-2,Negatif
ya benar banget kita masyarakat pusing pajak makin naik sedangkan diluar sana masih banyak masyarakat yang hidupnya susah dpr malah jogget senang dengan gajinya yang juta perhari hampir juta sebulan gajinya mereka benar senang diatas penderitaan masyarakatnya,0,Netral
nama yang cocok untuk dpr adalah wakil uang,-1,Negatif
sia rasnya bayar pajak negara kalau kualitas pemerintah negara masih kayak begini,-4,Negatif
kita senang bayar pajak kalau kebanyakan tidak korupsi,-3,Negatif
banyak hasil ya kok contoh salah satunya dpr sibuk memikirkan rakyat miskin,-1,Negatif
yang dgaji jutasebulan di efisiensi dkurangi ini itu yang gaji ratusan juta dtambah juta sebulan hebat banget rakabuming,0,Netral
biarkan mereka juga dapat uang segitu tidak akan dipakai bermanfaat buat dirinya keluarganya palingan dipakai buat nyewa lont buat club sana sini nyewa simpenan manusia kayak mereka itu kurang terus haus terus makanya gaji segitu gedenya masih saja korupsi karena uang yang mereka dapat tidak dipakai dijalan keberkahan,-6,Negatif
guru dan dosen brgkat jam pagi kerja serius tiap hari gaji juta dbilang beban negara dpr brgkat kerja jam berapa gajinya tidak main ratusan juta bulan kerjaxa duduk santai fasilitas wah hebat,2,Positif
disini saja masih ada lo sehari ribu dari jam sampai jam malam,-3,Negatif
kira komunikasi ya sama alien planet mana ya kak beruntung ya aku yang tinggal di rumah sendiri dan tidak ngontrak kasihan sekali ya anggota dpr itu,1,Positif
dewan perwakilan resah dengan nada marah dan emosi,-2,Negatif
mereka mewakili rakyat karena rakyat menginginkan hidup yang layak nah sudah diwakili sama mereka,-1,Negatif
tidak ada gunanya cuman menyusahkan rakyat,-1,Negatif
gunanya untuk membuat rakyat menderita karena uang rakyat yang menderita ini untuk bayar gaji mereka para tikus yang rakus,-3,Negatif
tidak ada guna kak,0,Netral
yang kayak makin kayak yang miskin tambah miskin,-4,Negatif
betul itu mbak indonesia memang negara yang sangat membuat rakyat tambah menderita saja beda jauh dengan luar negeri yang pengangguran saja di gajih,-8,Negatif
lagu rhoma irama benaran fakta ya yang kayak makin kayak yang miskin makin miskin sakit hati banget lihat ya pejabat itu,-2,Negatif
ia kak kita bayar pajak larinya ke orang itu dunia akhirat tidak ikhlas,-2,Negatif
benar banget aku saja dunia akherat tidak ridho dan ikhlas biar kan nanti mereka meningal akan mempertangung jawab kan ya dihisab dengan kejam di akherat nnati,-1,Negatif
yang memilih tetap kismin,0,Netral
yang kayak semakin kayak,-2,Negatif
dpr tidak guna bikin negara ini maju kagak yang ada hancur iya,-2,Negatif
sudah diobrak abrik kak,0,Netral
sama eko buat bayar listrik rumahnya kak,2,Positif
rumah megah hasil uang rakyat buat apav,3,Positif
tidak mengerti mau mengomong apalagi dengan negara konoha ini,-1,Negatif
iya anjir tidak ikhlas banget dunia akhirat,1,Positif
kalau kerja keras demi rakyat tidak ada yang miskin gelandang di luar sana,-3,Negatif
iya benar banget ini diluar sana masih banyak masyarakat yang hidupnya susah tidak ada perubahan,-1,Negatif
gaji keluar mu kasih ke dia juta per bulan,-2,Negatif
hah kerja keras demi rakyat manamasih banyak rakyat yang kesusahan bro,-1,Negatif
wkwkwk banyak banget buzzer ya,3,Positif
tugasnya buat uu doang kok,1,Positif
anak sultanapakah seperti ini kah gaji dpr gaji pemerintah besar banget sedangkan rakyat gaji kecil kebanyakan orang kerja gaji hanya juta an per bulan dan belum lagi pajak terlalu banyak dan besar,-4,Negatif
sudahlah ikhlasin saja muka mu,-2,Negatif
kamu komen begituan biar netizen menghujat kamu ya hahah kocak banget hidup kamu,0,Netral
iklasin saja bibir mu,-1,Negatif
sedih banget dengar berita ini,0,Netral
abang gua mau coba nih mohon bantuannya dong,-1,Negatif
lah ini link yang baru saja gue maenin wkwk,-2,Negatif
gue juga wd juta disitu,1,Positif
mengira gue doang yang menang,-1,Negatif
belum pernah merasai benefit dari dpr,0,Netral
sarjana lawak sama tukang sulap,0,Netral
betul karena mereka hanyalah perwakilan suara rakyat bukan orang penting di negara ini,-2,Negatif
padahal tidak mewakili sama sekali,-2,Negatif
tunjangan berasnya saja juta kak perbln,-1,Negatif
ya tidak lah kocak,-1,Negatif
dia kesel pas habis foto bareng itu di cuekin tidak ada yang mengajak mengobrol atau salaman,-4,Negatif
mending lap dulu ingusnya dek,-1,Negatif
orang paokkomen pula memang kalau dah benci tetap benci ya kan walaupun tidak menyambung,-1,Negatif
dia lulusan singapore jir,-2,Negatif
bocil lu tau apa mending mainn saja sana anak yang masih bau kencurr,-6,Negatif
foto kamu noh munduran dikit wkwk,0,Netral
bocah guyoh rong lempeng ngpo i komen,0,Netral
benar banget kak gereget sama ibu pakai baju putih,2,Positif
itu yang yang paling bawah itu kan yang pakai topi,-5,Negatif
sebenarnya gajinya umr kak tapi tunjangannya itu yang tidak masuk akal,-3,Negatif
nah benar tunjangannya itu loh,-1,Negatif
sengaja di kecilin gapoknya biar tidak besar bayar pajak tapi tunjangan ya tuhan,-2,Negatif
pajak kita untuk mereka kak,-1,Negatif
yang penting tidak usah menerima gaji yang hasil pajak takut meminta cerai,-3,Negatif
beban kita sebagai rakyat kak pusing tidak tuh jadi kita masarakat,-4,Negatif
maka ya yang ambisi jadi dpr rela keluar duit puluhan milyar,0,Netral
semenjak kridayanti speak up jadi banyak artis artis ikut,1,Positif
rakyat kerja keras buat ngegaji dpr kak miriss,2,Positif
ya benar kd sendiri yang bilang di podcast dan diwawancara stlah itu dia kena panggil sama parpol ya kmudian dedi sih saat podcast sama fahri h mmprtnyakan dan mnyebutkan kbnran itu fahri h pun menjawab iya wkwkwkkw aku heran sih menteri keuangan malah menyalahkan guru sebagai beban negara gaji guru yang tidak sbrpa masih dptong pajak tidak ada sampai tunjangan listtik tunjangan rumah tunjangan bensin dll lah ini dpr malah dikasih segala fasilitasnya kayak menampar saja,-11,Negatif
bulan sudah jeti,-1,Negatif
setelah di hitung total sebulan capai sama,2,Positif
para artis masuk dpr bukan membela dan menyuarakn suara rakyat tapi karena gajiny,-1,Negatif
pantas pajak naik terus buat menutupi gaji dpr ternyata fantastis banget,2,Positif
tugas ya bagaimana ya imbng tidak buat rakyat,1,Positif
semangat kerjanya ya kak sampai tetes keringat terakhir karena pajak semakin naik untuk gaji mereka,0,Netral
syok moco komen,0,Netral
yang kayak makin kayak yang miskin makin miskin,-4,Negatif
iya ini nih katanya,-1,Negatif
itu baru orang dikali beberapa anggota dpr indonesia banyak duit ya kalau buat dpr,-1,Negatif
ya allah apa kabar degn ibu rumah tangga,2,Positif
sebelum tahun kalau sekarang berarti tiap tanggal juta,0,Netral
