normalisasi,Score,Sentiment,tokenize,stopword removal
secara literally mereka anggota dpr ini menari diatas penderitaan rakyat,-2,Negatif,"['secara', 'literally', 'mereka', 'anggota', 'dpr', 'ini', 'menari', 'diatas', 'penderitaan', 'rakyat']",literally anggota dpr menari diatas penderitaan rakyat
rakyat miskin di pajak pejabat dapat subsidi,-3,Negatif,"['rakyat', 'miskin', 'di', 'pajak', 'pejabat', 'dapat', 'subsidi']",rakyat miskin pajak pejabat subsidi
ingat buk pak hidup di dunia ini hanya sementara,-2,Negatif,"['ingat', 'buk', 'pak', 'hidup', 'di', 'dunia', 'ini', 'hanya', 'sementara']",buk hidup dunia
ini adalah sebagian strategi bapak prabowo dan wakil presiden agar rakyat indonesia melihat kelakuan dpr,1,Positif,"['ini', 'adalah', 'sebagian', 'strategi', 'bapak', 'prabowo', 'dan', 'wakil', 'presiden', 'agar', 'rakyat', 'indonesia', 'melihat', 'kelakuan', 'dpr']",strategi prabowo wakil presiden rakyat indonesia kelakuan dpr
sakittt banget juta perhari sedangkan guru bulan ribu,0,Netral,"['sakittt', 'banget', 'juta', 'perhari', 'sedangkan', 'guru', 'bulan', 'ribu']",sakittt juta perhari guru ribu
yang miskin tambah miskin yang kayak tambah kayak,-4,Negatif,"['yang', 'miskin', 'tambah', 'miskin', 'yang', 'kayak', 'tambah', 'kayak']",miskin miskin
sedangkan guru honorer nakes yang kerjanya tidak main main mau dapat juta saja harus menunggu berbulan bulan lamanyaaa,-4,Negatif,"['sedangkan', 'guru', 'honorer', 'nakes', 'yang', 'kerjanya', 'tidak', 'main', 'main', 'mau', 'dapat', 'juta', 'saja', 'harus', 'menunggu', 'berbulan', 'bulan', 'lamanyaaa']",guru honorer nakes kerjanya main main juta menunggu berbulan lamanyaaa
rakyat ya mau ngontrak petakan saja susah,-1,Negatif,"['rakyat', 'ya', 'mau', 'ngontrak', 'petakan', 'saja', 'susah']",rakyat ngontrak petakan susah
tunjangan komunikasi juta antum mau bikin tower wifi sendiri apa bagaimana anjj,-2,Negatif,"['tunjangan', 'komunikasi', 'juta', 'antum', 'mau', 'bikin', 'tower', 'wifi', 'sendiri', 'apa', 'bagaimana', 'anjj']",tunjangan komunikasi juta antum bikin tower wifi anjj
demi allah tidak iklas aku dunia akhirat kelen naik gajirakyat ya makin susah,-2,Negatif,"['demi', 'allah', 'tidak', 'iklas', 'aku', 'dunia', 'akhirat', 'kelen', 'naik', 'gajirakyat', 'ya', 'makin', 'susah']",allah iklas dunia akhirat kelen gajirakyat susah
dewan pemerasan rakyat dpr,-2,Negatif,"['dewan', 'pemerasan', 'rakyat', 'dpr']",dewan pemerasan rakyat dpr
kagak ikhlas gue bayar pajak asli,0,Netral,"['kagak', 'ikhlas', 'gue', 'bayar', 'pajak', 'asli']",kagak ikhlas bayar pajak asli
bersenang senanglah kalian di atas bumi yang hanya sementara ini jangan lupa masih ada khdpan di bawah bumi setelah ini,-5,Negatif,"['bersenang', 'senanglah', 'kalian', 'di', 'atas', 'bumi', 'yang', 'hanya', 'sementara', 'ini', 'jangan', 'lupa', 'masih', 'ada', 'khdpan', 'di', 'bawah', 'bumi', 'setelah', 'ini']",bersenang senanglah bumi lupa khdpan bumi
ingat semua itu ada pertanggung jawabannya kelak di akhirat,-2,Negatif,"['ingat', 'semua', 'itu', 'ada', 'pertanggung', 'jawabannya', 'kelak', 'di', 'akhirat']",pertanggung jawabannya kelak akhirat
gunanya dpr apa bertanya dengan nada lembut,0,Netral,"['gunanya', 'dpr', 'apa', 'bertanya', 'dengan', 'nada', 'lembut']",gunanya dpr nada lembut
gaji sebulan juta hasil kerja mereka apa ya,0,Netral,"['gaji', 'sebulan', 'juta', 'hasil', 'kerja', 'mereka', 'apa', 'ya']",gaji sebulan juta hasil kerja
lihat pasha kayak bingung,0,Netral,"['lihat', 'pasha', 'kayak', 'bingung']",lihat pasha bingung
apa untung ya dpr buat rakyat,0,Netral,"['apa', 'untung', 'ya', 'dpr', 'buat', 'rakyat']",untung dpr rakyat
juta sudah lebih dari cukup itu gaji dpr perbulan,-1,Negatif,"['juta', 'sudah', 'lebih', 'dari', 'cukup', 'itu', 'gaji', 'dpr', 'perbulan']",juta gaji dpr perbulan
rumah eko patrio sudah segede gaban masih dapat tunjangan,0,Netral,"['rumah', 'eko', 'patrio', 'sudah', 'segede', 'gaban', 'masih', 'dapat', 'tunjangan']",rumah eko patrio segede gaban tunjangan
memang wajar gaji dpr besar kerja mereka keras dan jelas itu demi masyarakat kalau bisa juta perbulan,0,Netral,"['memang', 'wajar', 'gaji', 'dpr', 'besar', 'kerja', 'mereka', 'keras', 'dan', 'jelas', 'itu', 'demi', 'masyarakat', 'kalau', 'bisa', 'juta', 'perbulan']",wajar gaji dpr kerja keras masyarakat juta perbulan
habis wd juta hari ini ketua,0,Netral,"['habis', 'wd', 'juta', 'hari', 'ini', 'ketua']",habis wd juta ketua
fungsinya dpr itu apa sih saya sebagai rakyat tidak perlu wakil,-4,Negatif,"['fungsinya', 'dpr', 'itu', 'apa', 'sih', 'saya', 'sebagai', 'rakyat', 'tidak', 'perlu', 'wakil']",fungsinya dpr rakyat wakil
ih saya guru gaji ya sebulan ribu loh,0,Netral,"['ih', 'saya', 'guru', 'gaji', 'ya', 'sebulan', 'ribu', 'loh']",ih guru gaji sebulan ribu
eko patrio sama iya kuya sarjana apa,0,Netral,"['eko', 'patrio', 'sama', 'iya', 'kuya', 'sarjana', 'apa']",eko patrio kuya sarjana
sebenarnya gibran itu bukan marah atau geram sama dpr tapi memang planga plongo saja tidak tau apa apa sama kayak bapaknya dulu,-6,Negatif,"['sebenarnya', 'gibran', 'itu', 'bukan', 'marah', 'atau', 'geram', 'sama', 'dpr', 'tapi', 'memang', 'planga', 'plongo', 'saja', 'tidak', 'tau', 'apa', 'apa', 'sama', 'kayak', 'bapaknya', 'dulu']",gibran marah geram dpr planga plongo bapaknya
menyala negeri ku,0,Netral,"['menyala', 'negeri', 'ku']",menyala negeri ku
iya lagi apa lagi pajak menyala,-4,Negatif,"['iya', 'lagi', 'apa', 'lagi', 'pajak', 'menyala']",pajak menyala
teganya kau menari diatas tangisanku,-1,Negatif,"['teganya', 'kau', 'menari', 'diatas', 'tangisanku']",teganya kau menari diatas tangisanku
tanggal aseptus kayak ya,-1,Negatif,"['tanggal', 'aseptus', 'kayak', 'ya']",tanggal aseptus
sudah kak tanggal tadi di jakarta,-1,Negatif,"['sudah', 'kak', 'tanggal', 'tadi', 'di', 'jakarta']",tanggal jakarta
kabarin kalau ada demo,-2,Negatif,"['kabarin', 'kalau', 'ada', 'demo']",kabarin demo
sudah kabar tanggal ketinggalan info,-3,Negatif,"['sudah', 'kabar', 'tanggal', 'ketinggalan', 'info']",kabar tanggal ketinggalan info
berarti kalau suami istri buat kos juta ya,0,Netral,"['berarti', 'kalau', 'suami', 'istri', 'buat', 'kos', 'juta', 'ya']",suami istri kos juta
betul hebat banget negara kasih gajih sama orang yang kayak jadi tambah kayak yang miskin tambah kelaperan,-2,Negatif,"['betul', 'hebat', 'banget', 'negara', 'kasih', 'gajih', 'sama', 'orang', 'yang', 'kayak', 'jadi', 'tambah', 'kayak', 'yang', 'miskin', 'tambah', 'kelaperan']",hebat negara kasih gajih orang miskin kelaperan
ok gas ok gas,0,Netral,"['ok', 'gas', 'ok', 'gas']",ok gas ok gas
saran dari gue sih sebelum demo persiapan antisipasi gas air mata dan jangan lupa bawa petasan biar seru,-5,Negatif,"['saran', 'dari', 'gue', 'sih', 'sebelum', 'demo', 'persiapan', 'antisipasi', 'gas', 'air', 'mata', 'dan', 'jangan', 'lupa', 'bawa', 'petasan', 'biar', 'seru']",saran demo persiapan antisipasi gas air mata lupa bawa petasan seru
terwujud kata mu abang,-1,Negatif,"['terwujud', 'kata', 'mu', 'abang']",terwujud mu
setuju gua orangnya mageran tapi kalau demo ya untuk membubarkan dpr gua tidak mager sumpah,-5,Negatif,"['setuju', 'gua', 'orangnya', 'mageran', 'tapi', 'kalau', 'demo', 'ya', 'untuk', 'membubarkan', 'dpr', 'gua', 'tidak', 'mager', 'sumpah']",setuju gua orangnya mageran demo membubarkan dpr gua mager sumpah
irt ikut demo bisa tidak sih,-3,Negatif,"['irt', 'ikut', 'demo', 'bisa', 'tidak', 'sih']",irt demo
kabarin abang kalau sudah demo,-2,Negatif,"['kabarin', 'abang', 'kalau', 'sudah', 'demo']",kabarin demo
harus kompak rakyatnya jangan bayar pajak,-3,Negatif,"['harus', 'kompak', 'rakyatnya', 'jangan', 'bayar', 'pajak']",kompak rakyatnya bayar pajak
pajak apa saja begitu kak contohnya pajak mtr kah,-4,Negatif,"['pajak', 'apa', 'saja', 'begitu', 'kak', 'contohnya', 'pajak', 'mtr', 'kah']",pajak contohnya pajak mtr kah
ya salahsatunya mereka tidak dapat pemasukan kalau kita kompak tidak bayar pjk,-2,Negatif,"['ya', 'salahsatunya', 'mereka', 'tidak', 'dapat', 'pemasukan', 'kalau', 'kita', 'kompak', 'tidak', 'bayar', 'pjk']",salahsatunya pemasukan kompak bayar pjk
ttapiii kalau tidak bayar pajak memang aman,-3,Negatif,"['ttapiii', 'kalau', 'tidak', 'bayar', 'pajak', 'memang', 'aman']",ttapiii bayar pajak aman
aku gabayar bulan saja kayanya panik,-4,Negatif,"['aku', 'gabayar', 'bulan', 'saja', 'kayanya', 'panik']",gabayar kayanya panik
pajak penghasilanku saja bisa juta perbulan belum pajak ppb mobil motor kita ke mall makan byr ppn kita belanja kena ppn,-2,Negatif,"['pajak', 'penghasilanku', 'saja', 'bisa', 'juta', 'perbulan', 'belum', 'pajak', 'ppb', 'mobil', 'motor', 'kita', 'ke', 'mall', 'makan', 'byr', 'ppn', 'kita', 'belanja', 'kena', 'ppn']",pajak penghasilanku juta perbulan pajak ppb mobil motor mall makan byr ppn belanja kena ppn
tapi gajiku di potong otomatis untuk bayar pajak tiap bulan juta an lebih,0,Netral,"['tapi', 'gajiku', 'di', 'potong', 'otomatis', 'untuk', 'bayar', 'pajak', 'tiap', 'bulan', 'juta', 'an', 'lebih']",gajiku potong otomatis bayar pajak juta an
sebagian di kasih buat gaji dpr ihklas tidak kalau saya sih tidak ihklaskalo buat kebutuhan negara saya ihklas,-2,Negatif,"['sebagian', 'di', 'kasih', 'buat', 'gaji', 'dpr', 'ihklas', 'tidak', 'kalau', 'saya', 'sih', 'tidak', 'ihklaskalo', 'buat', 'kebutuhan', 'negara', 'saya', 'ihklas']",kasih gaji dpr ihklas ihklaskalo kebutuhan negara ihklas
demi allah tidak ikhlas kerja sampai gila stres deadline kejaran lembur dipotong pajak buat hidup foya pejabat tidak ikhlas,0,Netral,"['demi', 'allah', 'tidak', 'ikhlas', 'kerja', 'sampai', 'gila', 'stres', 'deadline', 'kejaran', 'lembur', 'dipotong', 'pajak', 'buat', 'hidup', 'foya', 'pejabat', 'tidak', 'ikhlas']",allah ikhlas kerja stres deadline kejaran lembur dipotong pajak hidup foya pejabat ikhlas
ya palingan nanti ada ancaman tertentu kalau tidak bayarpajak sebenarnya secara tidak sadar semuanya di pajakin apa apa di pajakin kita saja tidak sadar,-8,Negatif,"['ya', 'palingan', 'nanti', 'ada', 'ancaman', 'tertentu', 'kalau', 'tidak', 'bayarpajak', 'sebenarnya', 'secara', 'tidak', 'sadar', 'semuanya', 'di', 'pajakin', 'apa', 'apa', 'di', 'pajakin', 'kita', 'saja', 'tidak', 'sadar']",palingan ancaman bayarpajak sadar pajakin pajakin sadar
kak kalau kakak masuk belanja di supermarketpun ada ppn ya lah kakak selama ini sudah bayar pajak melalui itu salah ya,-2,Negatif,"['kak', 'kalau', 'kakak', 'masuk', 'belanja', 'di', 'supermarketpun', 'ada', 'ppn', 'ya', 'lah', 'kakak', 'selama', 'ini', 'sudah', 'bayar', 'pajak', 'melalui', 'itu', 'salah', 'ya']",kakak masuk belanja supermarketpun ppn kakak bayar pajak salah
pajak mobil mati tahun kagak gua uruss,-2,Negatif,"['pajak', 'mobil', 'mati', 'tahun', 'kagak', 'gua', 'uruss']",pajak mobil mati kagak gua uruss
gajih guru honor pns dan pakai ribu juta adalah beban negara terus gajih dpr beban siapa,-2,Negatif,"['gajih', 'guru', 'honor', 'pns', 'dan', 'pakai', 'ribu', 'juta', 'adalah', 'beban', 'negara', 'terus', 'gajih', 'dpr', 'beban', 'siapa']",gajih guru honor pns ribu juta beban negara gajih dpr beban
bisa tidak gaji dpr itu atau juta saja perbulan begitu biar merasai juga jadi rakyat biasa yang kerjanya lembur tapi gaji tidak sbrp,-3,Negatif,"['bisa', 'tidak', 'gaji', 'dpr', 'itu', 'atau', 'juta', 'saja', 'perbulan', 'begitu', 'biar', 'merasai', 'juga', 'jadi', 'rakyat', 'biasa', 'yang', 'kerjanya', 'lembur', 'tapi', 'gaji', 'tidak', 'sbrp']",gaji dpr juta perbulan merasai rakyat kerjanya lembur gaji sbrp
bisa tidak gaji anggota dpr setara umr saja bagaimana rasa ya beras minyak gas token listrik habis bersamaan,-3,Negatif,"['bisa', 'tidak', 'gaji', 'anggota', 'dpr', 'setara', 'umr', 'saja', 'bagaimana', 'rasa', 'ya', 'beras', 'minyak', 'gas', 'token', 'listrik', 'habis', 'bersamaan']",gaji anggota dpr setara umr beras minyak gas token listrik habis bersamaan
sila ke keadilan sosial bagi seluruh rakyat indonesia telah hilang,1,Positif,"['sila', 'ke', 'keadilan', 'sosial', 'bagi', 'seluruh', 'rakyat', 'indonesia', 'telah', 'hilang']",sila keadilan sosial rakyat indonesia hilang
coba dpr sesekali buka mata buka hati dipinggir jalan banyak rakyat yang makan banyak yang mati kelaparan,-3,Negatif,"['coba', 'dpr', 'sesekali', 'buka', 'mata', 'buka', 'hati', 'dipinggir', 'jalan', 'banyak', 'rakyat', 'yang', 'makan', 'banyak', 'yang', 'mati', 'kelaparan']",coba dpr buka mata buka hati dipinggir jalan rakyat makan mati kelaparan
kita butuh sosok pemimpin seperti anis baswedan untuk merubah indonesia dari ketidak adilan dan agar rakyat indonesia di bebaskan dari kemiskinandan agar indonesia menjadi negara yang lebih majutapi setelah itu tangkap anis,-8,Negatif,"['kita', 'butuh', 'sosok', 'pemimpin', 'seperti', 'anis', 'baswedan', 'untuk', 'merubah', 'indonesia', 'dari', 'ketidak', 'adilan', 'dan', 'agar', 'rakyat', 'indonesia', 'di', 'bebaskan', 'dari', 'kemiskinandan', 'agar', 'indonesia', 'menjadi', 'negara', 'yang', 'lebih', 'majutapi', 'setelah', 'itu', 'tangkap', 'anis']",butuh sosok pemimpin anis baswedan merubah indonesia ketidak adilan rakyat indonesia bebaskan kemiskinandan indonesia negara majutapi tangkap anis
kata krisdayanti tentang gaji dpr tanggal cair juta tanggal cair lagi juta jadi sebulan juta dana aspirasi juta kali dalam tahun dana kunjungan dapil juta kali dalam tahun ya allah kuatkan rakyat indonesia,5,Positif,"['kata', 'krisdayanti', 'tentang', 'gaji', 'dpr', 'tanggal', 'cair', 'juta', 'tanggal', 'cair', 'lagi', 'juta', 'jadi', 'sebulan', 'juta', 'dana', 'aspirasi', 'juta', 'kali', 'dalam', 'tahun', 'dana', 'kunjungan', 'dapil', 'juta', 'kali', 'dalam', 'tahun', 'ya', 'allah', 'kuatkan', 'rakyat', 'indonesia']",krisdayanti gaji dpr tanggal cair juta tanggal cair juta sebulan juta dana aspirasi juta kali dana kunjungan dapil juta kali allah kuatkan rakyat indonesia
salahnya dimana lgian jadi dpr itu tidak enak harus lembur siang malam dan mnguras tenaga dan pkiran demi memkirkan rakyat supaya hidup sejahtra mereka lembur sampai subuh karena rapat mewakilkan suara keluh kesah rakyat jadi wajar lah kalau gaji mereka naik kapan perlu kita rakyat harus tambah gaji mereka dari yang juta perhari jadi juta perhari karena mereka banyak berjasa buat negara ini,-2,Negatif,"['salahnya', 'dimana', 'lgian', 'jadi', 'dpr', 'itu', 'tidak', 'enak', 'harus', 'lembur', 'siang', 'malam', 'dan', 'mnguras', 'tenaga', 'dan', 'pkiran', 'demi', 'memkirkan', 'rakyat', 'supaya', 'hidup', 'sejahtra', 'mereka', 'lembur', 'sampai', 'subuh', 'karena', 'rapat', 'mewakilkan', 'suara', 'keluh', 'kesah', 'rakyat', 'jadi', 'wajar', 'lah', 'kalau', 'gaji', 'mereka', 'naik', 'kapan', 'perlu', 'kita', 'rakyat', 'harus', 'tambah', 'gaji', 'mereka', 'dari', 'yang', 'juta', 'perhari', 'jadi', 'juta', 'perhari', 'karena', 'mereka', 'banyak', 'berjasa', 'buat', 'negara', 'ini']",salahnya dimana lgian dpr enak lembur siang malam mnguras tenaga pkiran memkirkan rakyat hidup sejahtra lembur subuh rapat mewakilkan suara keluh kesah rakyat wajar gaji rakyat gaji juta perhari juta perhari berjasa negara
katanya tanggal demo bubarkan dpr jadikah,-3,Negatif,"['katanya', 'tanggal', 'demo', 'bubarkan', 'dpr', 'jadikah']",tanggal demo bubarkan dpr jadikah
terlalu kecil juta mah kalau bisa mah sama saja apa karena mereka memng pantas mendapatkan gaji segitu soalnya modal awalnya juga gede hidup dpr yang miskin tambah miskin yang kayak ya tambah kayak,-9,Negatif,"['terlalu', 'kecil', 'juta', 'mah', 'kalau', 'bisa', 'mah', 'sama', 'saja', 'apa', 'karena', 'mereka', 'memng', 'pantas', 'mendapatkan', 'gaji', 'segitu', 'soalnya', 'modal', 'awalnya', 'juga', 'gede', 'hidup', 'dpr', 'yang', 'miskin', 'tambah', 'miskin', 'yang', 'kayak', 'ya', 'tambah', 'kayak']",juta memng gaji segitu modal gede hidup dpr miskin miskin
mending uang ya buat bedah rumah masyarakat yang tidak mampu lebih berguna,3,Positif,"['mending', 'uang', 'ya', 'buat', 'bedah', 'rumah', 'masyarakat', 'yang', 'tidak', 'mampu', 'lebih', 'berguna']",mending uang bedah rumah masyarakat berguna
pak prabowo hapus tunjangan dpr,-2,Negatif,"['pak', 'prabowo', 'hapus', 'tunjangan', 'dpr']",prabowo hapus tunjangan dpr
pak bu demi allah kami tidak ridho tidak ikhlas bakal kami tagih sampai akhirat,-1,Negatif,"['pak', 'bu', 'demi', 'allah', 'kami', 'tidak', 'ridho', 'tidak', 'ikhlas', 'bakal', 'kami', 'tagih', 'sampai', 'akhirat']",allah ridho ikhlas tagih akhirat
para petinggi berfoya dengan berhamburan uang rakyat kecil masih semakin tertindas dengan kenaikan pajak oh negeriku begitu tidak adilkah,-3,Negatif,"['para', 'petinggi', 'berfoya', 'dengan', 'berhamburan', 'uang', 'rakyat', 'kecil', 'masih', 'semakin', 'tertindas', 'dengan', 'kenaikan', 'pajak', 'oh', 'negeriku', 'begitu', 'tidak', 'adilkah']",petinggi berfoya berhamburan uang rakyat tertindas kenaikan pajak oh negeriku adilkah
hampir semua yang bekerja dipemerintahan sih,-2,Negatif,"['hampir', 'semua', 'yang', 'bekerja', 'dipemerintahan', 'sih']",dipemerintahan
hidup mereka enak bangtt setra rakyat kecil susah hidup ya,-1,Negatif,"['hidup', 'mereka', 'enak', 'bangtt', 'setra', 'rakyat', 'kecil', 'susah', 'hidup', 'ya']",hidup enak bangtt setra rakyat susah hidup
bisa abang kita makan dan minum uang ya dari hasil keringat kita sendiri bukan dari dpr,-3,Negatif,"['bisa', 'abang', 'kita', 'makan', 'dan', 'minum', 'uang', 'ya', 'dari', 'hasil', 'keringat', 'kita', 'sendiri', 'bukan', 'dari', 'dpr']",makan minum uang hasil keringat dpr
nah ini benar dpr tuh omon omon doang kalau ya kita masih bisa hidup dengan bekerja keringat sendiri,-1,Negatif,"['nah', 'ini', 'benar', 'dpr', 'tuh', 'omon', 'omon', 'doang', 'kalau', 'ya', 'kita', 'masih', 'bisa', 'hidup', 'dengan', 'bekerja', 'keringat', 'sendiri']",dpr omon omon hidup keringat
btw itu nama bpk ku omon,-1,Negatif,"['btw', 'itu', 'nama', 'bpk', 'ku', 'omon']",btw nama bpk ku omon
dan mngkn pajak kita juga bukan buat bikin kenyang itu tikus ya,0,Netral,"['dan', 'mngkn', 'pajak', 'kita', 'juga', 'bukan', 'buat', 'bikin', 'kenyang', 'itu', 'tikus', 'ya']",mngkn pajak bikin kenyang tikus
iya mungkin padahal gajih sudah besar tuh dpr tapi kenapa masih ada yang korup ya apa kurang gajih segitu,-7,Negatif,"['iya', 'mungkin', 'padahal', 'gajih', 'sudah', 'besar', 'tuh', 'dpr', 'tapi', 'kenapa', 'masih', 'ada', 'yang', 'korup', 'ya', 'apa', 'kurang', 'gajih', 'segitu']",gajih dpr korup gajih segitu
nama ya juga tikus got kurang saja dia mah,-3,Negatif,"['nama', 'ya', 'juga', 'tikus', 'got', 'kurang', 'saja', 'dia', 'mah']",nama tikus got
tikus berkumis dan ber uban ini mah,0,Netral,"['tikus', 'berkumis', 'dan', 'ber', 'uban', 'ini', 'mah']",tikus berkumis ber uban
dpr yang dari kita,-2,Negatif,"['dpr', 'yang', 'dari', 'kita']",dpr
sedangkan dpr yang gaji kita kayak tidak adil banget,-2,Negatif,"['sedangkan', 'dpr', 'yang', 'gaji', 'kita', 'kayak', 'tidak', 'adil', 'banget']",dpr gaji adil
memang kita di gajih sama dpr,0,Netral,"['memang', 'kita', 'di', 'gajih', 'sama', 'dpr']",gajih dpr
dulu almarhum gusdur mau bubarkan dpr malah di demo,-1,Negatif,"['dulu', 'almarhum', 'gusdur', 'mau', 'bubarkan', 'dpr', 'malah', 'di', 'demo']",almarhum gusdur bubarkan dpr demo
saya pikir nanyak begini mau apa,-3,Negatif,"['saya', 'pikir', 'nanyak', 'begini', 'mau', 'apa']",pikir nanyak
kan selama ini kita hidup mencari makan sendiri,-2,Negatif,"['kan', 'selama', 'ini', 'kita', 'hidup', 'mencari', 'makan', 'sendiri']",hidup mencari makan
padahal kata ya negara demokrasi tapi pendapat rakyat tidak pernah di dengar,0,Netral,"['padahal', 'kata', 'ya', 'negara', 'demokrasi', 'tapi', 'pendapat', 'rakyat', 'tidak', 'pernah', 'di', 'dengar']",negara demokrasi pendapat rakyat dengar
dari dulu yang kayak mah pejabat,-4,Negatif,"['dari', 'dulu', 'yang', 'kayak', 'mah', 'pejabat']",pejabat
piye ora bayar soyo ra bayar soyo di parani goleki salahe,-2,Negatif,"['piye', 'ora', 'bayar', 'soyo', 'ra', 'bayar', 'soyo', 'di', 'parani', 'goleki', 'salahe']",piye ora bayar soyo ra bayar soyo parani goleki salahe
aku menunggu pemutihan pajak saja wkwkwkwk,-3,Negatif,"['aku', 'menunggu', 'pemutihan', 'pajak', 'saja', 'wkwkwkwk']",menunggu pemutihan pajak
wkwkwk aku belum bayar pajak kak,0,Netral,"['wkwkwk', 'aku', 'belum', 'bayar', 'pajak', 'kak']",bayar pajak
benar apa pajak makan saja dipajakin,-3,Negatif,"['benar', 'apa', 'pajak', 'makan', 'saja', 'dipajakin']",pajak makan dipajakin
bilang tidak bayar pajak giliran ditanyakan pak dukuh terus membayar,-2,Negatif,"['bilang', 'tidak', 'bayar', 'pajak', 'giliran', 'ditanyakan', 'pak', 'dukuh', 'terus', 'membayar']",bilang bayar pajak giliran dukuh membayar
haha perangkat desa yang menarik sekarang,-1,Negatif,"['haha', 'perangkat', 'desa', 'yang', 'menarik', 'sekarang']",perangkat desa menarik
tidak bayar pajak pun pajak bisa dari kebutuhan yang harganya jadi pada naik,-5,Negatif,"['tidak', 'bayar', 'pajak', 'pun', 'pajak', 'bisa', 'dari', 'kebutuhan', 'yang', 'harganya', 'jadi', 'pada', 'naik']",bayar pajak pajak kebutuhan harganya
sulit bro sistem mengharuskan bayar pajak,-2,Negatif,"['sulit', 'bro', 'sistem', 'mengharuskan', 'bayar', 'pajak']",sulit bro sistem mengharuskan bayar pajak
