normalisasi,Score,Sentiment
kalau anggota dewannya diganti sebelum tahun terus uang sudah dikasih semua selama tahu pertama ini bagaimana itu apakah mulai dari nol lagi bayar juta kali bulan lagi sama anggota dewan pengganti,-7,Negatif
juta masih di bilang kasihan terus guru honorer gaji perbulan apa tidak lebih kasihan,1,Positif
mereka langsung mendadak kena stroke kak,0,Netral
dapat ngubah semalam ya pak atau cuma penjelasan saja,0,Netral
rakyat menjerit suamiku mau uang juta sebulan saja keringat dimana mana kasihan banget kami,0,Netral
anjjj kan memang,0,Netral
kali saja mereka punya hati kan masih manusia,1,Positif
berjuang untuk rakyat di mana,0,Netral
enak kali ya jadi angota dpr,1,Positif
sekalian saja jita sebulan kan enak tapi,-1,Negatif
trkadang saya heran gaji guru dan gaji para medis malahan lebih kecil padahal kedua itu paling brjasa paling membantu pendidikan dan keselamatan,0,Netral
hem kalau ini sudah muncul dan komen sudah bubar dunia,-1,Negatif
iya kakak kita tidak ada yang iklas kita tunggu pertanggung jawaban kelak di akhirat,-2,Negatif
yang pasti dpr dan mpr yang membuat negara ini banyak hutang dan masyarakat bertambah miskin,-3,Negatif
bekerja apa yang ada ngmis ke rakyat,-2,Negatif
mereka hajatan tiap hari kayanyamakanya beras juta sebulan,1,Positif
untuk turunan,0,Netral
kos juta sebulan seharusnya sehari juta,2,Positif
beras di campur berlian,1,Positif
beras di oplos dengan emas,0,Netral
anak haram keluar mulu,-2,Negatif
anjir mengomongnya muter mutertapi tujuan ya juta perbulanmasa jabatan,2,Positif
anggota dpr kayak raya mana ada anggotanya miskin rumah kontrak itu mengada ada buat habiskan uang rakyat,-3,Negatif
nanti ganti nama bukan anggaran kontrak rumah namanya di ganti anggaran beli rumah juta perbulan,1,Positif
waduh berarti uang rakyat buat para para di sana ya enak saja dpet bensin beras padahal kerja nya cuma duduk saja,3,Positif
makan ya rakus jadi beras doang juta sebulan wkwkwkwk,2,Positif
jengglot ini di mana,0,Netral
ini sudah di rekayasa biar rkyt tidak membubarkn dpr kayaknya jauh sekli dengan video krisdayanti kalau cuman standar tidak ada eko sampai rumhnya pantastis bgitupun artis lain sudhlh tidak usah di tutupi prilaku anggota dewan itu saja sudah tidak memihak rkyt,-14,Negatif
hahahaha iya tidak punya hati tapi punya jantung saking gedek nya hatiikuuu fyp mulu soal gaji para tikus ini,1,Positif
gajinya dong umr kali umr tanpa tunjangan,-1,Negatif
maaf setau saya kalau untuk anggota dprd gajinya juga dipotong buat partai pendukungnya tiap blnnya,-2,Negatif
negara kita ini utang banyak kok seenaknya menghamburhamburkan uang,-2,Negatif
juta sewa rumah tahun mending menyewa ruko saja buat gedung dpr tidur bareng sana tolol,1,Positif
pantas kita rakyat melarat yaorang uwangnya diwakilkan juga sama wakil rakyat,0,Netral
terus yang punya rumah juga harus kontrak,0,Netral
jangan kau ini ternaknya aniez ya,0,Netral
terus rakyat mu yang tidak ada biaya sekolah tidak ada perhatian dari pihak pemerintah,-3,Negatif
kami tidak bodoh amat untuk di kibulin kalian,0,Netral
juta buat tahun jadi ngontrak rumah pertahunya juta,4,Positif
kok dikali sih oon amat nih orang,0,Netral
mantap bang memang mudah banget dikasih menang besar disitu saya juga baru join dan langsung dikasih dong,5,Positif
bikin gaji anggdpr setara umrhilangkan tunjangan dll,0,Netral
semoga segera diadili pengadilan dunia sampai akhirat,0,Netral
sama bunda itupun belinya pas gajian kepentingan pokok di duluin kita istri ku beli beras dulu sayang karung,3,Positif
tunjangan naiik karena pajak rayat di naikantidak perlu kasihan dengan kawan dpr mutp kasihan sama rakyat yang kalian peras lewst pajak yang di naikantunjangan kalian kami byr dari kringat kami,-5,Negatif
satu preode bisa sama,1,Positif
kalau begitu penjelasan ya berarti juta untuk tahun dibayarkan bertahap dari oktober begitu ya pak,0,Netral
bisa buat makan kelurahan,1,Positif
sama karung ya kayanya,1,Positif
mereka meminta dipahami tapi mereka tidak peduli sama yang membayar gaji mereka,-1,Negatif
hum ya allah yang masuk akal tapi juga kasihan,0,Netral
kalau saya makan juta beli beras cukup tahun kakak,-2,Negatif
kan tahun depannya naik lagi kagak mungkin turun,-2,Negatif
beras juta bensin jtkita juta saja suruh sudah sama cicilan mikir pajak,0,Netral
betl boleh di buka viti kd yang bilang kalau uang yungagn anggota dewan itu memang wow ratusan juta sampai sama bonusnya lagi tidak sedikit mereka dapat miya anggota dewan itu kayak semua apa lagi kalau korupsi,-14,Negatif
dipelintir biar tidak kelihatan rampoknya,-1,Negatif
revisi teroos ya kan wkekwk,1,Positif
lucu banget pernyataan yang ini bagaimana kita yang rakyat kecil harga beras dan sembako terus meroketgmna sama sodara kita yang mau maka saja susah,-3,Negatif
beras jutaan buat makan orang rw,2,Positif
iya mana kayak ya,0,Netral
duit rakyat ituenak banget rakyat di peras mlberak,1,Positif
lah ituapa dia tidak tahu banyak masyarakat yang kerja sangat keras tapi gaji sebulan tidak sampai jutaomongnnya menyakiti hati rakyat kecil,-5,Negatif
karena sangat susah bisa jadi anggota dewan coba saja ibu mencalonkan diri kalau memang bisa,-7,Negatif
takut di datengin rumahnya ini,0,Netral
buzzer kau ladeni sama tollnya,1,Positif
harus memikirkan kak gajine dari pajak kita loh,-4,Negatif
apa yang mereka perjuangkan,-2,Negatif
sangkuning ini orang aslinyaklo yang jelli ya maaf,0,Netral
muka kamu tuh benerin,0,Netral
innalillahi wa innaillaihi rojiun,0,Netral
beli sekalian sawah ya abang,1,Positif
kode keras dari pak prabowo pak prabowo tidak melarang kalau kita mengibarkan bendera one piece sengaja bikin berita gaji dpr naik untuk memancing amarah kita buat demo tapi kita belum bergerak sampai sekarang dan menurutku itu sudah taktik yang pintar dari pak prabowo sebab dia paham tidak tidak berhak membubarkan dpr dan itu bukan ranah dia yang berhak itu kita sebagai rakyat sebab sesua dengan kepanjangannya dewan perwakilan rakyat jadi yang berhak melengserkan itu rakyat gas kita bubarkan prabowo belajar dari kisah pak gus dur yang ingin hapus dpr namun dia yang di lengserkan,-28,Negatif
mulai deh lo ya bikin kesel,1,Positif
shr adang kg iku buto ijo t sg manganaku saja di rumah orang adang gelas,-2,Negatif
kalau dia berjuang buat rakyat rakyat ya subur makmur app murah pekerjaan juga mudah di dapat ini bayak rakyat menjerit,-14,Negatif
lebih kerja nyata tni loh sebenarnya sungguh tidak adil memang yang siap berkorban jiwa dan raga rumdinnya sangat sederhana,1,Positif
tidak ada lurah paling juta dprd paling tinggi sama,1,Positif
itulh kkmereka seakan akanperlu ditolongpadahal jauh dibawahnyabagaimana nasib merekamemang tak bermoral,-2,Negatif
amin amin amin yarobb,0,Netral
sabar ya bu ada waktu ya tunggu saja bu,2,Positif
kontrakan bayar sendiri enak banget dibayarin,0,Netral
itu juta sudah bisa buat beli rumahbukan ngontrak lagi,0,Netral
apa masih ada anggota dpr yang menjabat sekarang nih tidak punya rumah sampai di kasih uang untuk ngontrak rumah apa mungkin pas nyaleg kemarin rmhtanah mereka pada terjual buat anggaran bansosuang serangan fajar bisa di duga begitu,-3,Negatif
bukanya bahas uud malah bahas uang memang dpr otaknya uang semua ya,1,Positif
aku sebulan juta bersih sudah besar bapak buat ngurusi anak sekolah,2,Positif
mas saya barusan wd ke lumayan lah mas buat besok,0,Netral
jutaan kok dikit ya seharusnya bisa ngidupi keluarga,0,Netral
mending langsung bubarin dpr saja kak,0,Netral
abang bisa tidak tunjangannya tidak dalam bentuk uang tapi diganti tunjang benaran,1,Positif
mereka itu rata sudah punya rumah dan rata sudah kayak semua,-1,Negatif
mending modalnya buat bikin usaha abang,1,Positif
itu baru beras bang belum jagung ubi dll,-1,Negatif
juta pertahun buat beli rumah sudah spek yang bagus di perum yang tahun bisa buat foya nanti tua masih dapat pensiunan merdeka,0,Netral
beras telor naik mentri keuangan kasihan dengan kawan kawan dpr lah rakyat kecil bagaimana,0,Netral
teganya kau menari diatas tangisanku,-1,Negatif
betull kaya sakit hati banget plus miris,0,Netral
ha ha ha kancil kancil lo pikir kami buaya yang bisa lo bodohin,-1,Negatif
maaf teman gue lupa kasih obat yohanes dan memasuki kandang maaf untuk ketidak nyamanannya,-1,Negatif
sekali nyuap satu singkup,-1,Negatif
itu tergolong minim karena waktu kampanya habisan,-4,Negatif
tolong jangan bohongi rakyat lagi entar rakyat marah lagi bagaimana,-4,Negatif
kasihan ya anggota dpr beras cuma juta makanx ganti di warteg saja ya biar rakyatx yang tidak makan,-2,Negatif
biasa titisan akun dpr ini mah,0,Netral
kasihan sama kawan dpr terus yang mau kasihan sama rakyat yang kelaparan susah dengan kondisi ekonomi yang sekarang morat marit siapa bertanya dengan nada sound horeg,0,Netral
ujung hanya untuk memperkaya diri sendiri dapat tunjangan fasilitas gede dari negara ikut rapat hanya sebulan,-8,Negatif
rakyat yang dengar makin sakit hati,0,Netral
mklum banyak istri simpenan boy,0,Netral
kalau tidak didemo mungkin tiap bulanlalu direvisi karena demo rakyat,-5,Negatif
enak kali ya anggota dewan lah yang jadi beban negarabukan guru,-2,Negatif
anjj kasihan sama orang yang gajinya belasan juta,1,Positif
masa kontrakudah kayak sudah punya rumah sendiri,0,Netral
jangan langsung percaya sebelum terbukti,2,Positif
cuman mikir bukan bertindak,-2,Negatif
sejuta perbulan kita yang rakyat kecil dapat juta sebulan ge kringet sampai ngucur dia sebegitu kerjanya cuma joget,-3,Negatif
medis pns gol gajinya juta tidak kenal tanggal merahbelum lagi terpojokkan karena kebijakan bpjs ya allahikhlaskan hati,0,Netral
buat makan sekampung itu beras juta,1,Positif
juta kali anggota dpr,0,Netral
kali anggota triliun wkwk,-1,Negatif
pantesan ya perut mereka buncit buat beli beras saja juta perbulan,1,Positif
masak kita percaya sama tikus,2,Positif
maklum makannya banyak biar kuat,0,Netral
fungsi dpr apa sih maaf bertanya dengan nada kambing,0,Netral
kenapa harus ada tunjangan yang besarannya tidak ngotak sih di saat rakyat ya banyak yang miskin pajak terus digerus harga sembako terus naik,-4,Negatif
coba lihat podcast densu sama pasha ungu deh dari awal memang sudah ada respon yang tidak benar dari dpr makanya memanas padahal memang aslinya kayak video ini persis yang disampein pasha ungu,-3,Negatif
berjuang apa ya kita cari makan sendiri kerja upahan yang gaji majikan kita atau yang jualandagang tidak ada tuh dimodalin negara,-5,Negatif
tikus berkumis dan ber uban ini mah,0,Netral
itu dulu sekarang naik,0,Netral
yang benar harusnya kasihan rakyat kita anjing memang nih orang aahhhh tetap ngeluh gaji tidak naik tunjangan cuma cuma cuma,-6,Negatif
juta kali bulan juta anggota dpr mana yang rumah kerja dapat fasilitas mewah begini gila,0,Netral
sama ajakalau dikalkulasikan kali sudah berapasementara rakyat mencari ribu per hari susah,-1,Negatif
mengakak banget woilah mandi beras,1,Positif
kasihan katanya dengan kawan dpr tapi tidak kasihan dengan rakyat kecil,-3,Negatif
trutusan teko kene barang koe,0,Netral
sebenarnya gibran itu bukan marah atau geram sama dpr tapi memang planga plongo saja tidak tau apa apa sama kayak bapaknya dulu,-6,Negatif
ternyata memang buat semua new member ya di kasih,1,Positif
ini orang apa genderuwo kok banyak banget jatah beli berasnya,0,Netral
ini hitungan ya bagaimana tidak mudeng aku,0,Netral
satu orang anggota dpr juta gaji ya kali berapa anggota yang mnjd dprkira mau memikirkan tidak orang pedagang kaki lima yang sering diangkut sat poll pp unt bayar pajak,-4,Negatif
kenapa ayam di ekspor ke singapor pak dasco,0,Netral
revisi teroos ya kan wkekwk,1,Positif
kasihan ya duit beras cuman dapat juta sedih aku dengernya padhal mereka kan kerja buat rakyat makannya kan harus banyak harusnya bisa tuh jatah berasnya naim jadi juta lebih,4,Positif
mana mau orang pas jadi masyarakatnya pada dibayar dulu baru mau memilih kook,1,Positif
dosen gua juga dulu bilang begitu bre waktu di kelas gaji cuman jutadengan nada mengeluh,-1,Negatif
otet pki berkomentar layak apa layak tudur saja di rumah,-1,Negatif
bgm menurut kakak,1,Positif
terus penrnyataan ya kd bagaimana pakkkk,1,Positif
ayok lebih semangat lagi kita bayar pajaknya kasihan gaji dpr cuma naik sedikit,-1,Negatif
mana buktinya penjelasan tanpa transparasi sama saja jual mimpi dan fiktif cukup lah validasinya,2,Positif
macam orang dewan ini ada yang tolol ada yang belagu ada yang masih ngeluh ada yang goblok soal hitungan,-8,Negatif
itu kasih tunjangan buat nyewa rumah atau buat beli rumah sih,2,Positif
ia kasbon mulu kalau lagi jong,-2,Negatif
kok semakin muter begini ya dpr demi cuci nama baik,0,Netral
beli sekalian sawah ya abang,1,Positif
nama ya juga sih eta,1,Positif
bagi yang belum mengerti dan membutuhkan penjelasan lebih lanjut saya ingin menjelaskannya selengkap mungkin karena saya telah meluangkan waktu untuk mempelajari dan mempelajari subjek dengan serius saya yakin siapa pun yang mendengar penjelasan ini akan dapat memahaminya dengan mudah saya akan mencoba menggunakan bahasa semudah mungkin dan akan berusaha menghindari istilah teknis yang mungkin membingungkan sehingga semua orang dapat menerapkan dan mengirimkannya dengan benar pertamatama harus dipahami bahwa segala sesuatu di dunia baik yang alami atau buatan manusia selalu memiliki tempat untuk dituju tidak ada yang terjadi secara tidak rasional semuanya logis dan dapat dijelaskan secara ilmiah dan sebagai orang yang telah mempelajari dan meninjau data ini untuk waktu yang lama saya siap menjelaskan hal ini kepada anda secara paling rinci menjelaskannya secara ilmiah membutuhkan penggunaan data dan prinsip yang telah terbukti prinsipprinsip yang akan saya jelaskan bukan hanya katakata tanpa bobot atau cerita yang tidak mendukungnya saya akan mencoba mengilustrasikan dan menggunakan penalaran ilmiah sehingga semua orang dapat memahaminya dengan mudah dan pasti menerapkannya saya jamin tidak ada yang bisa menjelaskannya semudah saya baik itu untuk alasan fisika kimia biologi atau bahkan matematika saya siap memberi anda contoh yang berkaitan dengan kehidupan seharihari tetapi dalam hal ini untuk memberi anda ringkasan singkat dan penjelasan ilmiah yang paling sederhana saya harus mengatakan bahwa itu memiliki penjelasan yang paling jelas dan jawabannya adalah saya tidak tahu,-41,Negatif
ribu bu bukan ribu,-1,Negatif
beras telur yang ada di hotel abang belinya,0,Netral
kasihan sama anggota dpr tapi tidak pernah kasihan sama rakyat kecil yang pajaknya terus di naikin untuk ngegaji para anggota dewan padahal rakyat kecil buat mkan saja susah sdbab pekerjaan hanya kuli serabutan,-6,Negatif
cuman matane njepat,0,Netral
rumah susun weh atuh,0,Netral
bisa ya mentri mulyani kasihan dengan anggota dewan maka gaji atau tunjangannya dinaikkan bagaimana dengan rakyat yang gajinya sesuai umr atau bahkan ada yang dibawah umr apa tidak perlu dikasiannin,-3,Negatif
baru mau bikin sudah duluan,0,Netral
anggota dpr kan sudah ada ru sama dinas kak pak itu kan masih bisa di pakai kenapa ngontrak,-1,Negatif
tidur di gedung ber ac kak sama joged joged,1,Positif
cuman kata ya cuman juta,1,Positif
sampai jumpa di pengadilan allah swt,1,Positif
kamu nanyak joget jogetlah,0,Netral
setiap bulan juta,0,Netral
laki sayah juta bulan anak sekolah laki kuliyah lagi yaallah puyeng,-2,Negatif
dia mungkin dari planet plutooo,-3,Negatif
joget yang gembira menyambut kenaikan gaji dan menari di atas penderitaan rakyat indonesia,-3,Negatif
gaji dpr juta perbulan tapi rumah ya harga milyaran dari mana uang ya untuk beli rumah mobil dan lain lain,4,Positif
kunjungan mesen cewek eh,0,Netral
sudahlah ikhlasin saja muka mu,-2,Negatif
uang kita cuma buat menafkahi dpr bjiir,0,Netral
iya benar kasihan banget mereka ini miris ya bun,1,Positif
gaji naik kerja tak adaaa,2,Positif
tidak percaya pak sudah terlalu banyak pejabat yang bohongi rakyat,-3,Negatif
juta kali bulan juta buat ngontrak tahun,2,Positif
berjoget diatas penderitaan rakyat kecil,-2,Negatif
tidak ada manfaat ya ada dpr di indonesia ya ternyata,2,Positif
sama oon nyaperbulan juta kali tahun,1,Positif
kasih semua saja uang rakyat buat dpr dprd biar dpr dan dprd bisa hidup tenang dan layak,-1,Negatif
itupun dia bilang cuma,-2,Negatif
kentut ya tidak meminta di tunjang juga bos,2,Positif
sudah benar kalau rakyat marah,-2,Negatif
mentri keuangan kasihan sama dpr,1,Positif
busett beras juta bisa buat makan sekeluarga berapa tahun itu,1,Positif
menteri keuangan kasihan sama kawan dpr,1,Positif
kasihan dengen kawan dpr rakyat tidak di kasiani yang tidak ada gaji jta pun tiap bulan dpr yang gaji jta di kasiani lucu tidak sih,-7,Negatif
kaya ya tidak mungkin mungkin kata di depan kamera saja itu,-5,Negatif
itu semua punya tabungan miliaran dan rumah bagus nice sleep pokoknya,0,Netral
padahal beras sebulan kg itu cukup sudah loh buat dewasa bocil cari beras yang hrg standart saja berapa sih sebulan tidak sampai sejuta buat beras anjay,-4,Negatif
sependapat kaksaya pribadi sebagai guru honorer dari tahun sekarangitu pun kemarin ada kata guru adalah beban negara beban apanya gaji kita pun tak sepadan dengan pengabdian kita selama initoh kita menjadi tenaga pendidik itu juga keluar biaya banyak untuk kuliahjadi tolong dong para pejabat berpikirlah dengan bijak pekerjaan kami adalah pekerjaan yang nyata kok tidak hanya makan gaji buta saja,-9,Negatif
ya allah kami cuma juta perbulan,2,Positif
asli kalau dunia sekarang ini,0,Netral
masyarakat mana kau ini,0,Netral
aspirasi juta abang,1,Positif
kasihan dpr sudah segitu menerima gaji kayanya masih kurang,-2,Negatif
semangat bu guru kamu adalah pahlawan negara,1,Positif
dana aspirasi yang sebulan ratusan juta mana pakkok tidak disebutkan,0,Netral
betul gaji berkah keringat sendiri di makan juga enak sehat,0,Netral
ini orang selalu munculngomong seeenak jidatnya saja,-1,Negatif
berjoget diatas penderitaan rakyat kecil,-2,Negatif
kami guru tunjangan beras dari dulu tidak naik cuma ribu dari dulu,-3,Negatif
makan enak diatas penderiataan rakyat,0,Netral
gaji tidak pernah transparan mungkin kebesaran jadi tidak enak sama rakyat,0,Netral
lucu kali ya kan tapi malah bilang guru beban negara kocak,0,Netral
lord dasco ber sabda,0,Netral
ih saya guru gaji ya sebulan ribu loh,0,Netral
mentri keuangan kasihan sama dpr tapi tidak kasihan dengan guru sumpah negara apa ini,0,Netral
tunjangan rumah jtbulan belum gaji jthari ada berapa ribu anggota dpr dinegri ini,-1,Negatif
nabung dulu buat nyaleg periode besok,1,Positif
you again n again,0,Netral
makannya saja pak dpr ton beras sebulan,-1,Negatif
tidak usah pak dpr kali umr sudah cukup pulang balik naik mrt atau trans jakarta dan kost jutanan sudah cukup,-4,Negatif
lihat pasha kayak bingung,0,Netral
juta untuk tahun yaitu juta perbulan tetap kegedean pakkkkk apartemen saja juta perbulan sudah bagus banget,3,Positif
lihat vt krisdayanti spill gaji dpr kalau ditotal tahun bisa bawa pulang sama bahkan lebih kali tahun pensiunan sampai koit,1,Positif
aduh kasih mereka ynaikin saja gaji mereka sampai kali lipat,-1,Negatif
banyak kali cincong ya,0,Netral
juta kali juta,2,Positif
juta perbulan atau pertahun pak mohon yang jelas,0,Netral
menangis sudah subsidi beras cuma juta berarti mereka kurang,-1,Negatif
gaji saja yang dipikirka hanya perut dia sendiri berbunyi perut orang yang dah terkeluar tak mau peduli apa untung ya jadi dewan yang kayak bertambah kayak yang miskin bertambah miskin itu lah indonesia,-15,Negatif
ini sudah wawancara yang keberapa ya bisa kali didiskusikan buat di omongkan ke publik,2,Positif
mending uangnya untuk perbaikan rumah dinas,2,Positif
beras ya di jual lagi ke rakyat,1,Positif
loh kok masih ada tunjangan rumah,0,Netral
iya betul pernah lihat dulu,1,Positif
enak ya hidop diasmua di tnggung negara,1,Positif
apa sih kinerja mereka buat rakyat,0,Netral
beda orang beda cerita hedewww tidak benar ini,-3,Negatif
jossssss sebulan juta rumah mewah,2,Positif
jangan coba provokasi pco sedang memantau dan siap lapor,2,Positif
karena memang sudah tertulis kak di uu ada peraturan dpr wajib dapat rumah dinastunjangan rumah sebenrnya mereka sudah dikasih rumah dinas tapi pakai rumah dinasnya jadinya banyak yang rusak dan beban pemeliharaan rumah itu jadi tanggungan negara akhirnya rumah itu di tarik oleh negara dan di ganting dengan uang juta perbulan itu selama satu tahun buat menggantikan rumah dinas tadi buat mereka sewa rumah selama tahun menjabat,5,Positif
malah tambah makmur rakyatnya,2,Positif
angota dpr jafi beban buat rakyat bayar pajak segala macam untuk bayar gaju dpr,-1,Negatif
beratt banget kak pekerjaan ya sangking berat ya sampai ada yang tidurr waktu rapat,3,Positif
sama saja manusia ini,1,Positif
yaallaah apa gunanya dpr rakyat ya saja susah semua begini,-4,Negatif
orang ini muncul dimanamana membela dpr,0,Netral
pungsi dpr itu apa sih kok semuanya di pasilitasi hran sayaserba mewah semuasedangkan rakyat yang di bawah tercekik,-4,Negatif
kasih pinjam lah tanah sama duitmu biar kita buat,2,Positif
takutnya secara diam diam,0,Netral
kita butuh sosok pemimpin seperti anis baswedan untuk merubah indonesia dari ketidak adilan dan agar rakyat indonesia di bebaskan dari kemiskinandan agar indonesia menjadi negara yang lebih majutapi setelah itu tangkap anis,-8,Negatif
beras juta tidak apa tenang saja gula tertinggi di nasi paling siap untuk insulin,1,Positif
enak benar ya pak hidup di atas penderitaan rakyat katanya cuma doang kasihan katanya eh pak lebih kasihan prihatin sama rakyat yang menderita ingat ya pak di akhirat akan kami tuntut semua perbuatan bpk ibu dpr kami tidak ikhlas dunia akhirat,-5,Negatif
tetap tidak setuju lah keenakan dpr,1,Positif
kita adalah bank berjalan mereka,0,Netral
tunjangan beras mereka sebulan gaji kita bulan,-2,Negatif
karena tidak ada yang benar jadi tidak ada yang sama omongan mereka,-5,Negatif
beras terbuat dari emas kayak ya telor ya telor dinosaurus,0,Netral
kan mereka memang numpang hidup mewah,0,Netral
coba turun ke jalan nes sekalian permak muka gratis,1,Positif
astaghfirullah aladzimx coba rakyat pak tambah susah apa apa pjkterus,-3,Negatif
beras juta lupa,1,Positif
kenapa tidak di buat rumah dinas saja pak kayak tni ada asrama ya,1,Positif
